1
CLOSEDCURVE
32
558950 4454150 
559009 4454144 
559065 4454127 
559117 4454099 
559162 4454062 
559199 4454017 
559227 4453965 
559244 4453909 
559250 4453850 
559244 4453791 
559227 4453735 
559199 4453683 
559162 4453638 
559117 4453601 
559065 4453573 
559009 4453556 
558950 4453550 
558891 4453556 
558835 4453573 
558783 4453601 
558738 4453638 
558701 4453683 
558673 4453735 
558656 4453791 
558650 4453850 
558656 4453909 
558673 4453965 
558701 4454017 
558738 4454062 
558783 4454099 
558835 4454127 
558891 4454144 
